Word,Frequency
君,76
僕,55
死ぬ,39
俺,38
って,36
だ,34
何,34
今,28
出す,26
言う,26
全部,25
くれる,25
なんて,25
てる,22
あなた,21
生きる,21
思う,20
たい,20
誰,20
そんな,20
ばかり,19
大人,17
見る,17
書く,17
こんな,17
金,16
生む,16
なん,16
全て,15
みたい,15
夜,15
笑う,14
知る,13
本当,13
夏,13
愛する,13
命,13
ずっと,13
人間,13
音楽,13
なあ,12
人生,12
者,12
自分,11
夢,11
あの,11
春,10
綺麗,10
眠る,10
捨てる,10
ちゃ,10
青い,9
体,9
言葉,9
親愛,9
今日,9
嫌い,9
私,9
桜,8
どこ,8
中,8
偶像,8
嫌う,8
殺す,8
稼ぐ,8
心臓,8
~,8
卑怯,8
気,7
なれる,7
てく,7
変わる,7
ぜ,7
吐く,7
けど,7
救う,7
ただ,7
出来る,7
日,7
一人,7
いる,7
悪い,7
鬼,7
ああ,7
匂い,7
時,7
去る,6
度,6
昔,6
冬,6
ちゃう,6
終わる,6
です,6
物語,6
前,6
心,6
単純,6
吸血,6
腹,6
愛す,6
人,6
じゃん,5
飲む,5
奪う,5
街,5
馬鹿,5
目,5
壊す,5
秋,5
すら,5
わかる,5
遠い,5
泣く,5
部屋,5
話,5
終わり,5
売る,5
じゃ,5
やる,5
世界,5
しまう,5
奥,5
早い,5
ぶつ,5
ばっか,5
分かる,5
二人,5
散り際,4
透明,4
純粋,4
同じ,4
肌,4
出る,4
歩く,4
年,4
散る,4
手,4
たび,4
さよなら,4
楽しい,4
くらい,4
価値,4
朝,4
花火,4
止まる,4
歌,4
ナイフ,4
持つ,4
簡単,4
息,4
寂しい,4
抱える,4
欲しい,4
きっと,4
醜い,4
満たす,4
信ずる,4
大切,4
忘れる,4
苦しい,4
頭,4
飯,4
残す,4
落ちる,4
幸せ,4
落とす,4
奴,4
やつ,4
シワ,4
血,4
吸う,4
隣,4
続ける,4
側,4
与える,4
失う,4
頃,4
怖い,4
過ぎる,4
爆弾,4
がる,4
始まり,3
子,3
不,3
もん,3
突然,3
消える,3
なる,3
探す,3
入れる,3
空,3
会う,3
生活,3
笑える,3
描く,3
ます,3
覚める,3
過去,3
脳,3
変える,3
正しい,3
実際,3
悲しい,3
嫌,3
先,3
歌う,3
いつも,3
無駄,3
なさる,3
明日,3
しれる,3
結局,3
ゴミ,3
家族,3
日々,3
ダイヤモンド,3
取る,3
未来,3
魂,3
痛い,3
払う,3
こわい,3
化ける,3
溺れる,3
海,3
逃げる,3
仲間,3
地獄,3
サヨナラ,3
ない,3
踊る,3
様,3
好き,3
良い,3
なぜ,3
ヤバイ,3
畢生,3
時間,3
気づく,3
音,3
優しい,3
愛しい,3
記憶,3
少し,3
戻れる,3
ありのまま,3
ごめん,3
あいつ,3
暑い,3
二,3
以外,3
大人びる,2
赤,2
会える,2
込む,2
受ける,2
まんま,2
共,2
世,2
巡る,2
文字,2
押す,2
心地よい,2
昼,2
しょう,2
ねえ,2
値踏み,2
戻る,2
線路,2
抱く,2
しめる,2
違い,2
涎,2
愛せる,2
周り,2
エゴ,2
少年,2
付ける,2
流す,2
軽々しい,2
意味,2
傷,2
枯れ葉,2
朽ちる,2
妄想,2
怒る,2
幸福,2
好く,2
すぎる,2
別れ,2
必死,2
ペン,2
気取る,2
終われる,2
きる,2
言える,2
器用,2
男,2
らしい,2
筋肉,2
嬉しい,2
埋める,2
映画,2
食らう,2
生涯,2
クソ,2
立つ,2
