Word,Frequency
僕,134
君,133
って,79
わかる,70
てる,60
だ,57
何,50
夏,47
夜,44
今,39
行く,38
忘れる,38
YOU,38
出す,37
なんて,36
まだ,36
見る,36
心,34
中,32
言葉,31
花,31
ただ,30
もっと,29
思う,29
あなた,29
誰,28
愛,28
ぜ,28
待つ,27
言う,26
笑う,26
遠く,26
全て,25
人,24
風,24
あの,23
知る,23
今日,22
みたい,21
ずっと,21
口,21
けど,21
目,20
月,20
さよなら,20
さぁ,20
歌う,20
乾杯,20
無い,19
こんな,19
生きる,19
世界,18
見える,18
歩く,18
私,18
全部,18
日,18
そんな,18
匂い,18
きっと,17
声,17
雲,17
空,17
合う,17
遠い,16
人生,16
書く,16
じゃ,16
ねぇ,16
is,16
街,15
胸,15
手,15
乗る,15
さえ,15
一人,14
穴,14
向こう,14
?,14
恋,14
THE,14
時,13
夢,13
少し,13
音,13
痛い,13
方,13
想い出,13
顔,13
春,13
込む,13
取る,13
です,13
居る,13
教える,13
I,13
ほら,12
どこ,12
消える,12
たい,12
深い,12
涙,12
大人,12
散る,12
what,12
present,12
変わる,11
色,11
詩,11
強い,11
息,11
咲く,11
置く,11
ME,11
触れる,10
日々,10
くれる,10
踊る,10
すら,10
先,10
描く,10
考える,10
残る,10
歌,10
明日,10
みる,10
いく,10
くらい,10
本当,10
わ,10
光,10
need,10
ダンス,10
ホール,10
My,10
出る,9
終わる,9
部屋,9
分かる,9
雨,9
あんた,9
荷物,9
言える,9
青い,9
聞こえる,9
吸う,9
揺れる,9
出会い,9
肩,8
幸せ,8
出来る,8
時間,8
番,8
付く,8
する,8
降る,8
頬,8
死ぬ,8
前,8
欲しい,8
吐く,8
ねむる,8
まち,8
一旦,8
吠える,8
人間,8
From,8
命,7
馬鹿,7
たって,7
弱い,7
頭,7
なれる,7
自分,7
空く,7
ばかり,7
優しい,7
朝,7
立つ,7
ひとりぼっち,7
楽,7
出せる,7
つまる,7
精々,7
間違う,7
座る,7
去る,7
抜ける,7
返す,7
嗚呼,7
最後,7
t,7
ARE,7
It,7
about,7
時代,7
億劫,7
LOVE,7
かく,6
なん,6
毎日,6
引く,6
冷める,6
思い出,6
やっと,6
頃,6
守る,6
切る,6
奥,6
音楽,6
黙る,6
転がる,6
満たす,6
探す,6
慣れる,6
寂しい,6
アイムアルーザー,6
回,6
苦しい,6
ちゃう,6
道,6
お前,6
なぁ,6
火,6
気,6
木陰,6
来る,6
星,6
変える,6
気づく,6
間,6
海,6
的,6
なんか,6
that,6
ゆく,6
注ぐ,6
以外,6
偽物,6
Here,6
OH,6
愛する,5
込める,5
どうせ,5
最低,5
泣く,5
何処,5
呼吸,5
辛い,5
良い,5
価値,5
冷たい,5
二,5
いつも,5
未来,5
聞く,5
信ずる,5
埋める,5
開く,5
温い,5
眠る,5
戻る,5
他人,5
孤独,5
打つ,5
呑む,5
喉,5
結局,5
ねえ,5
長い,5
永遠,5
向く,5
意味,5
度,5
笑える,5
ヒーロー,5
ストーリー,5
鮮やか,5
足,5
吹く,5
追う,5
影,5
閉じる,5
逃げる,5
気付く,5
身体,5
二人,5
いる,5
同じ,5
皆,5
正義,5
形,5
浅い,5
想う,5
物,5
あと,5
笑顔,5
分かつ,5
気持ち,5
てく,5
過ごす,5
好き,5
甘い,5
Don,5
even,5
It’s,5
飛ぶ,5
そうさ,5
つめる,5
事,5
わたし,5
映画,5
with,5
大丈夫,5
there,5
Heart,5
s,5
映る,4
鳴らす,4
限界,4
離れる,4
愛す,4
怖い,4
為,4
なる,4
当たり前,4
違う,4
あいつ,4
縋る,4
消す,4
嘘,4
青空,4
森,4
報う,4
飛ばす,4
年老いる,4
でる,4
落ちる,4
重たい,4
ボク,4
見せる,4
独り,4
会う,4
ポケット,4
もん,4
覗く,4
塵,4
抱える,4
過ぎる,4
勇気,4
思える,4
叫ぶ,4
先生,4
我儘,4
指,4
あぁ,4
暮れる,4
諦める,4
動く,4
きれる,4
放る,4
握る,4
云う,4
味,4
様,4
辞める,4
合図,4
減らす,4
こぼす,4
愚痴,4
ケンカ,4
%,4
伝える,4
場所,4
貴方,4
想像,4
力,4
足りる,4
ちゃんと,4
どれ,4
Your,4
m,4
down,4
Make,4
a,4
SO,4
just,4
上手い,4
隙間,4
輝く,4
“,4
”,4
lovin,4
めくるめく,4
エルマ,4
In,4
AND,4
Nothing,4
AH,4
hah,4
揺らす,3
窓,3
照らす,3
メーデー,3
爆ぜる,3
怯える,3
最期,3
微か,3
期待,3
年,3
限,3
生活,3
小さな,3
六,3
邪魔,3
殴る,3
寿命,3
残す,3
街灯,3
歌詞,3
成る,3
そろそろ,3
そっと,3
ふれる,3
はず,3
明ける,3
付ける,3
占める,3
ああ,3
悪い,3
わけ,3
